,author,content,description,publishedAt,source,title,url,urlToImage
526,JJ,"Advertiser Disclosure: Many of the links that appear on this site are from companies from which DansDeals.com receives compensation. Dan’s Deals LLC is a participant in the Amazon Services LLC Associates Program, an affiliate advertising program designed to p… [+1187 chars]",(Silver) KitchenAid 9-Cup Food Processor With Exact Slice System For Just $62.97 Shipped From Lord And Taylor! This has never sold for less than $103.04 from Amazon. Use your Chase Freedom Card to earn 5 points per dollar at department stores this quarter. 3-…,2018-11-12T14:35:00Z,"{'id': None, 'name': 'Dansdeals.com'}",KitchenAid 9-Cup Food Processor With Exact Slice System For Just $62.97 Shipped From Lord And Taylor!,https://www.dansdeals.com/shopping-deals/amazon/kitchenaid-9-cup-food-processor-exact-slice-system-just-62-97-shipped-lord-taylor/,https://i.dansdeals.com/wp-content/uploads/2018/11/12093051/kitchenaid-kfp0922cu-9-cup-food-processor-with-exact-slice-system-contour-1.jpg
527,Dan,"Advertiser Disclosure: Many of the links that appear on this site are from companies from which DansDeals.com receives compensation. Dan’s Deals LLC is a participant in the Amazon Services LLC Associates Program, an affiliate advertising program designed to p… [+1187 chars]",Bookable only at Jetblue.com/promo Use code: HOLIDAZED Book by 11/14 at 11:59pm EST Travel 11/27 – 12/12 Excludes travel on Fridays and Sundays 20% off base airfare on all flights (base airfare excludes government taxes/fees) Not valid on previous bookings No…,2018-11-13T15:06:49Z,"{'id': None, 'name': 'Dansdeals.com'}",20% Off JetBlue Flights! Roundup Of Flight Bargains Between $49-$97 Each Way!,https://www.dansdeals.com/airfare-deals/domestic-flights/20-off-jetblue-flights-roundup-flight-bargains-49-97-way/,https://i.dansdeals.com/wp-content/uploads/2017/07/14143218/JetBlue_Airways_Airbus_A321-231WL_N945JT_-_LAX.jpg
528,Dan,"Advertiser Disclosure: Many of the links that appear on this site are from companies from which DansDeals.com receives compensation. Dan’s Deals LLC is a participant in the Amazon Services LLC Associates Program, an affiliate advertising program designed to p… [+1187 chars]","Capital One has new limited time offers available on their business cards. The Capital One® Spark® Miles for Business is offering 50,000 miles for spending $5,000 in 3 months and another 150,000 miles for spending another $45,000 within 6 months. The card ear…",2018-11-13T18:58:54Z,"{'id': None, 'name': 'Dansdeals.com'}","Earn Up To 300,000 Miles Or $3,000 Cash Back On Capital One Business Cards For Big Spenders!",https://www.dansdeals.com/credit-cards/capitalone/earn-300000-miles-3000-cash-back-capital-one-business-cards-big-spenders/,https://i.dansdeals.com/wp-content/uploads/2018/11/13130540/500px-Capital_One_logo.svg_.png
529,JJ,"Advertiser Disclosure: Many of the links that appear on this site are from companies from which DansDeals.com receives compensation. Dan’s Deals LLC is a participant in the Amazon Services LLC Associates Program, an affiliate advertising program designed to p… [+1187 chars]",Please note: This is a sponsored post. Waterproof LED Strip Lights 32′ Kit With 44 Key Remote For $12.69 From Amazon After Stacking $19 Lightning Deal And Coupon Code Discount! Use code: KPZ292S7 LED Strips: 5050 RGB LED strip light has 300leds with 2 roll of…,2018-11-13T22:27:56Z,"{'id': None, 'name': 'Dansdeals.com'}",Waterproof LED Strip Lights 32′ Kit With 44 Key Remote For $12.69 From Amazon After Stacking $19 Lightning Deal And Coupon Code Discount!,https://www.dansdeals.com/advertisement/waterproof-led-strip-lights-32-kit-44-key-remote-12-69-amazon-stacking-19-lightning-deal-coupon-code-discount/,https://i.dansdeals.com/wp-content/uploads/2018/11/13172801/minger-led-strip-lights-kit-waterproof-2x5m328ft-in-total-5050-rgb-300led-1.jpg
530,JJ,"Advertiser Disclosure: Many of the links that appear on this site are from companies from which DansDeals.com receives compensation. Dan’s Deals LLC is a participant in the Amazon Services LLC Associates Program, an affiliate advertising program designed to p… [+1187 chars]","Chef’sChoice Professional 3-Stage Electric Knife Sharpener For Straight And Serrated Knives For $79.99 Shipped From Woot I use this product to sharpen our knives at home, and it it fantastic, your knives will be sharper than the day you bought them. This is t…",2018-11-06T14:54:11Z,"{'id': None, 'name': 'Dansdeals.com'}",Chef’sChoice Professional 3-Stage Electric Knife Sharpener For Straight And Serrated Knives For Just $79.99 Shipped From Woot!,https://www.dansdeals.com/shopping-deals/amazon/chefschoice-professional-3-stage-electric-knife-sharpener-straight-serrated-knives-just-79-99-shipped-woot/,https://i.dansdeals.com/wp-content/uploads/2018/11/06095245/chefschoice-15-trizor-xv-edgeselect-professional-electric-knife-sharpener-1.jpg
531,Dan,"Advertiser Disclosure: Many of the links that appear on this site are from companies from which DansDeals.com receives compensation. Dan’s Deals LLC is a participant in the Amazon Services LLC Associates Program, an affiliate advertising program designed to p… [+1187 chars]",Days Of Wonder Ticket To Ride Board Game For $24.99 Shipped From Amazon After $20 Price Drop! This was selling for $44.97 yesterday and is now the lowest price ever from Amazon. Ticket To Ride is one of my favorite board games. While I’m a massive fan of Sett…,2018-11-06T13:43:29Z,"{'id': None, 'name': 'Dansdeals.com'}",Days Of Wonder Ticket To Ride Board Game For $24.99 Shipped From Amazon After $20 Price Drop!,https://www.dansdeals.com/shopping-deals/amazon/days-wonder-ticket-ride-board-game-24-99-shipped-amazon-20-price-drop/,https://i.dansdeals.com/wp-content/uploads/2018/11/06084306/days-of-wonder-ticket-to-ride-1.jpg
532,JJ,"Advertiser Disclosure: Many of the links that appear on this site are from companies from which DansDeals.com receives compensation. Dan’s Deals LLC is a participant in the Amazon Services LLC Associates Program, an affiliate advertising program designed to p… [+1187 chars]",500 Top Flight Strip & Seal #10 Envelopes For $12.43 Shipped From Amazon This was selling for $18.71 yesterday and is now the lowest price ever from Amazon. Standard 10 envelope ( 4 1/8 x 9 1/2) 500 count per box Security tinted Strip & seal closure Heavy 24l…,2018-11-05T21:27:09Z,"{'id': None, 'name': 'Dansdeals.com'}",500 Top Flight Strip & Seal #10 Envelopes For $12.43 Shipped From Amazon,https://www.dansdeals.com/shopping-deals/amazon/500-top-flight-strip-seal-10-envelopes-12-43-shipped-amazon/,https://i.dansdeals.com/wp-content/uploads/2018/11/05162713/top-flight-pstf10nwt-10-envelopes-strip-seal-security-tinted-white-1.jpg
533,JJ,"Advertiser Disclosure: Many of the links that appear on this site are from companies from which DansDeals.com receives compensation. Dan’s Deals LLC is a participant in the Amazon Services LLC Associates Program, an affiliate advertising program designed to p… [+1187 chars]",Nerf Sports Dude Perfect Mini PerfectShot Hoop For $10.49 Shipped From Amazon This was selling for $17.85 before the price started to drop and is now the lowest price ever from Amazon. Hangs almost anywhere Shoot trick shots Hoop rotates to different angles I…,2018-11-06T14:08:59Z,"{'id': None, 'name': 'Dansdeals.com'}",Nerf Sports Dude Perfect Mini PerfectShot Hoop For $10.49 Shipped From Amazon,https://www.dansdeals.com/shopping-deals/amazon/nerf-sports-dude-perfect-mini-perfectshot-hoop-10-49-shipped-amazon/,https://i.dansdeals.com/wp-content/uploads/2018/11/06090903/nerf-sports-dude-perfect-mini-perfectshot-hoop-1.jpg
534,JJ,"Advertiser Disclosure: Many of the links that appear on this site are from companies from which DansDeals.com receives compensation. Dan’s Deals LLC is a participant in the Amazon Services LLC Associates Program, an affiliate advertising program designed to p… [+1187 chars]","Please note: This is a sponsored post. -Select 2 pairs of glasses from our entire store (including frames and lenses) for just $49! -Progressive/bifocal lenses: 1 pair for a $59 frame with lenses. -Polycarbonate thin lenses: $29 $10 -1,67 thinner lenses: $80 …",2018-11-06T17:50:20Z,"{'id': None, 'name': 'Dansdeals.com'}",Eyeglasses99 Optical Sale In Brooklyn! Save 50% Off; 2 Pairs For Just $49 Plus Free Anti-Scratch And Anti-Glare/Reflexion On Lenses!,https://www.dansdeals.com/advertisement/eyeglasses99-optical-sale-brooklyn-save-50-off-2-pairs-just-49-plus-free-anti-scratch-anti-glare-reflexion-lenses/,https://i.dansdeals.com/wp-content/uploads/2017/11/10164715/download-2.jpg
535,Dan,"Advertiser Disclosure: Many of the links that appear on this site are from companies from which DansDeals.com receives compensation. Dan’s Deals LLC is a participant in the Amazon Services LLC Associates Program, an affiliate advertising program designed to p… [+1187 chars]","Delta currently has a policy that allows passengers with nut allergies to preboard in order to clean their seat area from traces of nuts. You just need to tell the gate agent before boarding in order to preboard. Of course the other advantage of preboarding, …",2018-11-09T01:50:35Z,"{'id': None, 'name': 'Dansdeals.com'}",Delta And American Will Preboard Passengers With Nut Allergies,https://www.dansdeals.com/points-travel/airlines/airline-news/delta-american-will-preboard-passengers-nut-allergies/,https://i.dansdeals.com/wp-content/uploads/2017/09/11134112/dansdeals-glitch-fare.jpg
536,JJ,"Advertiser Disclosure: Many of the links that appear on this site are from companies from which DansDeals.com receives compensation. Dan’s Deals LLC is a participant in the Amazon Services LLC Associates Program, an affiliate advertising program designed to p… [+1187 chars]","Please note: This is a sponsored post. Limited Time Deal: Multiply Your Chances To Win $36,000 And Trip To Israel For 6! Tonight you can be the lucky winner! Who wouldn’t grab $36,000 cash and a fully sponsored trip to Israel for six? Grab the exclusive oppor…",2018-11-09T02:30:33Z,"{'id': None, 'name': 'Dansdeals.com'}",Tonight: Win $36k Cash And A Trip To Israel For 6! And An Exclusive Deal To Triple Your Tickets For DansDeals Only!,https://www.dansdeals.com/advertisement/tonight-win-36k-cash-trip-israel-6-exclusive-deal-triple-tickets-dansdeals/,https://i.dansdeals.com/wp-content/uploads/2018/11/08211550/dans-deals.png
537,JJ,"Advertiser Disclosure: Many of the links that appear on this site are from companies from which DansDeals.com receives compensation. Dan’s Deals LLC is a participant in the Amazon Services LLC Associates Program, an affiliate advertising program designed to p… [+1187 chars]",Sony Wireless Noise Canceling Headphones For $98 Shipped From Amazon After $100 Price Drop Available in Black or Blue. This was selling for $198 yesterday and is now the lowest price ever from Amazon. Noise cancellation adjusts to your environment with One Pu…,2018-11-08T13:29:26Z,"{'id': None, 'name': 'Dansdeals.com'}",Sony Wireless Noise Canceling Headphones For $98 Shipped From Amazon After $100 Price Drop,https://www.dansdeals.com/shopping-deals/amazon/sony-wireless-noise-canceling-headphones-98-shipped-amazon-100-price-drop/,https://i.dansdeals.com/wp-content/uploads/2018/11/08082929/sony-wh-ch700n-wireless-noise-canceling-headphones-black-whch700nb.jpg
538,JJ,"Advertiser Disclosure: Many of the links that appear on this site are from companies from which DansDeals.com receives compensation. Dan’s Deals LLC is a participant in the Amazon Services LLC Associates Program, an affiliate advertising program designed to p… [+1187 chars]","Cuisinart Chef’s Classic Stainless 7-Piece Cookware Set For $57.28 Shipped From Amazon This was selling for $74.99 before the price started to drop and is now the lowest price ever from Amazon. Set Includes – 1-1/2 Qt. Saucepan w/Cover,3 Qt. Saucepan w/Cover,…",2018-11-08T16:19:51Z,"{'id': None, 'name': 'Dansdeals.com'}",Cuisinart Chef’s Classic Stainless 7-Piece Cookware Set For $57.28 Shipped From Amazon,https://www.dansdeals.com/shopping-deals/amazon/cuisinart-chefs-classic-stainless-7-piece-cookware-set-57-28-shipped-amazon/,https://i.dansdeals.com/wp-content/uploads/2018/11/08111657/71mbtycJgfL._SL1500_.jpg
539,JJ,"Advertiser Disclosure: Many of the links that appear on this site are from companies from which DansDeals.com receives compensation. Dan’s Deals LLC is a participant in the Amazon Services LLC Associates Program, an affiliate advertising program designed to p… [+1187 chars]",90 Ziploc Sandwich XL Bags For $5.18-$5.98 Shipped Via Amazon Subscribe And Save -Clip the 20% off coupon on the product page. This was selling for $9.93 before the price dropped and is now the lowest price ever from Amazon. Use these handy sandwich bags to p…,2018-11-08T20:41:04Z,"{'id': None, 'name': 'Dansdeals.com'}",90 Ziploc Sandwich XL Bags For $5.18-$5.98 Shipped Via Amazon Subscribe And Save,https://www.dansdeals.com/shopping-deals/amazon/90-ziploc-sandwich-xl-bags-5-18-5-98-shipped-via-amazon-subscribe-save/,https://i.dansdeals.com/wp-content/uploads/2018/11/08154107/ziploc-sandwich-bags-xl-3-pack-30-ct-1.jpg
540,JJ,"Advertiser Disclosure: Many of the links that appear on this site are from companies from which DansDeals.com receives compensation. Dan’s Deals LLC is a participant in the Amazon Services LLC Associates Program, an affiliate advertising program designed to p… [+1187 chars]","2 WiFi Smart Plugs For $8 Shipped From Amazon After $32 Off Code! Use code: 80F3YBPX With WiFi connection, HUGOAI smart plug enables you to remotely switch any smart appliance on and off. Saving the trouble of having to plug and unplug your electric appliance…",2018-11-08T22:37:43Z,"{'id': None, 'name': 'Dansdeals.com'}",2 WiFi Smart Plugs For $8 Shipped From Amazon After $32 Off Code!,https://www.dansdeals.com/shopping-deals/amazon/2-wifi-smart-plugs-8-shipped-amazon-32-off-code/,https://i.dansdeals.com/wp-content/uploads/2018/11/08173649/wifi-smart-plug-hugoai-smart-mini-outlet-2-packs-works-alexagoogle-home-2.jpg
541,JJ,"Advertiser Disclosure: Many of the links that appear on this site are from companies from which DansDeals.com receives compensation. Dan’s Deals LLC is a participant in the Amazon Services LLC Associates Program, an affiliate advertising program designed to p… [+1187 chars]","2 Pack Of Amazon Echo 2nd Generation Speakers For $94.98 Shipped From QVC Create a new account and use $5 off code: FIVE4U This sells for $99.99 each from Amazon. Echo connects to Alexa to play music, make calls, set music alarms and timers, ask questions, co…",2018-11-14T18:19:00Z,"{'id': None, 'name': 'Dansdeals.com'}",2 Pack Of Amazon Echo 2nd Generation Speakers For $94.98 Shipped From QVC,https://www.dansdeals.com/shopping-deals/electronics/2-pack-amazon-echo-2nd-generation-speakers-94-98-shipped-qvc/,https://i.dansdeals.com/wp-content/uploads/2018/11/14130823/b085a7fe03898d6972cb15b1086e897e.png
542,JJ,"Advertiser Disclosure: Many of the links that appear on this site are from companies from which DansDeals.com receives compensation. Dan’s Deals LLC is a participant in the Amazon Services LLC Associates Program, an affiliate advertising program designed to p… [+1187 chars]",(Silver) KitchenAid 9-Cup Food Processor With Exact Slice System For Just $62.97 Shipped From Lord And Taylor! This has never sold for less than $103.04 from Amazon. Use your Chase Freedom Card to earn 5 points per dollar at department stores this quarter. 3-…,2018-11-12T14:35:00Z,"{'id': None, 'name': 'Dansdeals.com'}",KitchenAid 9-Cup Food Processor With Exact Slice System For Just $62.97 Shipped From Lord And Taylor!,https://www.dansdeals.com/shopping-deals/kitchen/kitchenaid-9-cup-food-processor-exact-slice-system-just-62-97-shipped-lord-taylor/,https://i.dansdeals.com/wp-content/uploads/2018/11/12093051/kitchenaid-kfp0922cu-9-cup-food-processor-with-exact-slice-system-contour-1.jpg
543,JJ,"Advertiser Disclosure: Many of the links that appear on this site are from companies from which DansDeals.com receives compensation. Dan’s Deals LLC is a participant in the Amazon Services LLC Associates Program, an affiliate advertising program designed to p… [+1187 chars]","Cosori 1500W Heavy Duty Blender And Food Processor For Soups With 70oz Pitcher And 27oz Bottle For $56.38 Shipped From Amazon This was selling for $128.99 yesterday and is now the lowest price ever from Amazon. Powerful 1500W Motor, Commercial-grade 2 HP moto…",2018-11-13T13:30:50Z,"{'id': None, 'name': 'Dansdeals.com'}",Cosori 1500W Heavy Duty Blender And Food Processor For Soups With 70oz Pitcher And 27oz Bottle For $56.38 Shipped From Amazon,https://www.dansdeals.com/shopping-deals/amazon/cosori-1500w-heavy-duty-blender-food-processor-soups-70oz-pitcher-27oz-bottle-56-38-shipped-amazon/,https://i.dansdeals.com/wp-content/uploads/2018/11/13083053/cosori-1500w-blender-for-shakes-and-smoothies-professional-kitchen-smoothie-1.jpg
544,JJ,"Advertiser Disclosure: Many of the links that appear on this site are from companies from which DansDeals.com receives compensation. Dan’s Deals LLC is a participant in the Amazon Services LLC Associates Program, an affiliate advertising program designed to p… [+1187 chars]",Nespresso Evoluo By De’Longhi With 30 Pods For $99 Shipped From Amazon After $74 Price Drop This was selling for $173.99 yesterday and is now the lowest price ever from Amazon. All Nespresso branded pods are kosher parve: Nespresso Pods Kosher Certificate (Ye…,2018-11-13T13:38:40Z,"{'id': None, 'name': 'Dansdeals.com'}",Nespresso Evoluo By De’Longhi With 30 Pods For $99 Shipped From Amazon After $74 Price Drop,https://www.dansdeals.com/shopping-deals/amazon/nespresso-evoluo-delonghi-30-pods-99-shipped-amazon-74-price-drop/,https://i.dansdeals.com/wp-content/uploads/2018/11/13083726/nespresso-evoluo-by-delonghi-graphite-and-vertuoline-best-seller-pods-30-ct-1.jpg
545,JJ,"Advertiser Disclosure: Many of the links that appear on this site are from companies from which DansDeals.com receives compensation. Dan’s Deals LLC is a participant in the Amazon Services LLC Associates Program, an affiliate advertising program designed to p… [+1187 chars]","Anolon Advanced Bronze Hard-Anodized Nonstick 14″ Covered Wok For $29.99 Shipped From Amazon After $50 Price Drop! This was selling for $79.99 yesterday and is now the lowest price ever from Amazon. The wok’s heavy-duty, hard-anodized construction provides qu…",2018-11-14T13:01:50Z,"{'id': None, 'name': 'Dansdeals.com'}",Anolon Advanced Bronze Hard-Anodized Nonstick 14″ Covered Wok For $29.99 Shipped From Amazon After $50 Price Drop!,https://www.dansdeals.com/shopping-deals/amazon/anolon-advanced-bronze-hard-anodized-nonstick-14-covered-wok-29-99-shipped-amazon-50-price-drop/,https://i.dansdeals.com/wp-content/uploads/2018/11/14080153/anolon-advanced-bronze-hard-anodized-nonstick-14-inch-covered-wok.jpg
546,JJ,"Advertiser Disclosure: Many of the links that appear on this site are from companies from which DansDeals.com receives compensation. Dan’s Deals LLC is a participant in the Amazon Services LLC Associates Program, an affiliate advertising program designed to p… [+1187 chars]","VIFAH Rectangular Extension Table And 8 Wood Armchair Outdoor Dining Set For $822.56 From Amazon After $491 Price Drop! This was selling for $1,313.99 yesterday and is now the lowest price ever from Amazon. This sells for $1,313.99 from Target. Mold, mildew, …",2018-11-14T17:02:25Z,"{'id': None, 'name': 'Dansdeals.com'}",VIFAH Rectangular Extension Table And 8 Wood Armchair Outdoor Dining Set For $822.56 From Amazon After $491 Price Drop!,https://www.dansdeals.com/shopping-deals/amazon/vifah-rectangular-extension-table-8-wood-armchair-outdoor-dining-set-822-56-amazon-491-price-drop/,https://i.dansdeals.com/wp-content/uploads/2018/11/14120017/vifah-v232set21-rectangular-extension-table-and-wood-armchair-outdoor-dining-set-1.jpg
547,Dan,"Advertiser Disclosure: Many of the links that appear on this site are from companies from which DansDeals.com receives compensation. Dan’s Deals LLC is a participant in the Amazon Services LLC Associates Program, an affiliate advertising program designed to p… [+1187 chars]",Delta Flash Sale: Fly To Europe For 98K Miles Round-Trip! Delta is having a flash sale for awards from most US cities to many destinations in Europe. You need to book travel by 11:59pm EST on 11/15. You can travel on select dates between 11/24/18-5/27/19. The…,2018-11-14T22:19:38Z,"{'id': None, 'name': 'Dansdeals.com'}",Delta Flash Sale: Fly Delta One Business Class And Suites From Most US Cities To Europe For 98K Miles Round-Trip!,https://www.dansdeals.com/airfare-deals/mileage-deals/delta-flash-sale-fly-delta-one-business-class-suites-us-cities-europe-98k-miles-round-trip/,https://i.dansdeals.com/wp-content/uploads/2017/09/05143352/Delta_Air_Lines_B767-300_N130DL.jpg
548,JJ,"Advertiser Disclosure: Many of the links that appear on this site are from companies from which DansDeals.com receives compensation. Dan’s Deals LLC is a participant in the Amazon Services LLC Associates Program, an affiliate advertising program designed to p… [+1187 chars]","Please note: This is a sponsored post. Big saving on designer shades from Gucci, Valentino, Prada, Tom Ford, YSL, Mont Blanc, Ray-Ban and more. Gift yourself and your friends/family for the Holidays! Guess starting at $15.99 Calvin Klein starting at $19.99 Ka…",2018-11-15T22:18:24Z,"{'id': None, 'name': 'Dansdeals.com'}",Early Black Friday Sale! Designer Sunglasses Up To 85% Off! Sunglasses From Just $15.99 Shipped!,https://www.dansdeals.com/advertisement/early-black-friday-sale-designer-sunglasses-85-off-sunglasses-just-15-99-shipped/,https://i.dansdeals.com/wp-content/uploads/2018/11/15165620/LUXOMO-STPAT-300X250-1.jpg
549,JJ,"Advertiser Disclosure: Many of the links that appear on this site are from companies from which DansDeals.com receives compensation. Dan’s Deals LLC is a participant in the Amazon Services LLC Associates Program, an affiliate advertising program designed to p… [+1187 chars]","Today Only: Save On Method, all, Seventh Generation, Arm Hammer, Laundry Products From Amazon! Sale valid until 11:50pm PST or while supplies last. Sample deals: Tide: Tide Pods Laundry Detergent Pacs (2x35ct), Downy Unstopable Scent Beads (14.8 oz) and Bounc…",2018-11-15T13:51:12Z,"{'id': None, 'name': 'Dansdeals.com'}","Today Only: Save On Tide, Gain, Method, all, Seventh Generation, Arm Hammer, And Clorox Laundry Products From Amazon!",https://www.dansdeals.com/shopping-deals/amazon/today-save-tide-gain-method-seventh-generation-arm-hammer-clorox-laundry-products-amazon/,https://i.dansdeals.com/wp-content/uploads/2018/11/15083926/81em9Zoal6L._SL1500_.jpg
550,JJ,"Advertiser Disclosure: Many of the links that appear on this site are from companies from which DansDeals.com receives compensation. Dan’s Deals LLC is a participant in the Amazon Services LLC Associates Program, an affiliate advertising program designed to p… [+1187 chars]","Please note: This is a stickied sponsored post. “Last week, we were all saddened and shocked to hear that a young father of 2, R’ Naftali Rhodes A’H, was tragically killed while crossing an intersection in Far Rockaway. We cannot heal the family’s enormous pa…",2018-11-15T18:24:08Z,"{'id': None, 'name': 'Dansdeals.com'}",Please Help A Widow And Her Two Children In The Horrible Aftermath Of Their Father’s Death Last Week,https://www.dansdeals.com/advertisement/please-help-widow-two-children-horrible-aftermath-fathers-death-last-week/,https://i.dansdeals.com/wp-content/uploads/2018/11/15130951/4043b6cab55d1b6c2c65d0b64d0ccdb7.png
551,JJ,"Advertiser Disclosure: Many of the links that appear on this site are from companies from which DansDeals.com receives compensation. Dan’s Deals LLC is a participant in the Amazon Services LLC Associates Program, an affiliate advertising program designed to p… [+1187 chars]",Today Only: Nespresso VertuoPlus Coffee Espresso Maker With Aeroccino Milk Frother By De’Longhi For $119.99 From Amazon After $100 Price Drop! This was selling for $219.94 yesterday and is now the lowest price ever from Amazon. Single serve Coffee machine: th…,2018-11-16T12:57:05Z,"{'id': None, 'name': 'Dansdeals.com'}",Today Only: Nespresso VertuoPlus Coffee Espresso Maker With Aeroccino Milk Frother By De’Longhi For $119.99 From Amazon After $100 Price Drop!,https://www.dansdeals.com/shopping-deals/amazon/today-nespresso-vertuoplus-coffee-espresso-maker-aeroccino-milk-frother-delonghi-119-99-amazon-100-price-drop/,https://i.dansdeals.com/wp-content/uploads/2018/11/16075709/nespresso-vertuoplus-coffee-and-espresso-maker-bundle-with-aeroccino-milk-1.jpg
552,JJ,"Advertiser Disclosure: Many of the links that appear on this site are from companies from which DansDeals.com receives compensation. Dan’s Deals LLC is a participant in the Amazon Services LLC Associates Program, an affiliate advertising program designed to p… [+1187 chars]",Get 3 All-New Echo Dot 3rd Gen Smart Speakers With Alexa For $69.97 Shipped From Amazon After $80 Black Friday Discount! Add 3 Echo Dots to your cart and you will automatically receive an $80 discount! These normally sell for $49.99 each or $149.97 for 3! Ech…,2018-11-16T13:01:37Z,"{'id': None, 'name': 'Dansdeals.com'}",Get 3 All-New Echo Dot 3rd Gen Smart Speakers With Alexa For $69.97 Shipped From Amazon After $80 Black Friday Discount!,https://www.dansdeals.com/shopping-deals/amazon/3-pack-new-echo-dot-3rd-gen-smart-speaker-alexa-69-97-amazon-80-black-friday-discount/,https://i.dansdeals.com/wp-content/uploads/2018/11/16080140/all-new-echo-dot-3rd-gen-smart-speaker-with-alexa-charcoal-1.jpg
553,JJ,"Advertiser Disclosure: Many of the links that appear on this site are from companies from which DansDeals.com receives compensation. Dan’s Deals LLC is a participant in the Amazon Services LLC Associates Program, an affiliate advertising program designed to p… [+1187 chars]","Naomi Home “I’m A Big Helper” Foldable Kids’ Kitchen Stand For $99.99 Shipped From Amazon After $50 Off Coupon -Clip the $50 off coupon on the product page. This was selling for $149.99 yesterday and is now the lowest price ever on Amazon. Available in Gray, …",2018-11-16T16:51:16Z,"{'id': None, 'name': 'Dansdeals.com'}",Naomi Home “I’m A Big Helper” Foldable Kids’ Kitchen Stand For $99.99 Shipped From Amazon After $50 Off Coupon,https://www.dansdeals.com/shopping-deals/amazon/naomi-home-im-big-helper-foldable-kids-kitchen-stand-99-99-shipped-amazon-50-off-coupon/,https://i.dansdeals.com/wp-content/uploads/2018/11/16113544/naomi-home-kids-im-a-big-helper-gray-2.jpg
554,JJ,"Advertiser Disclosure: Many of the links that appear on this site are from companies from which DansDeals.com receives compensation. Dan’s Deals LLC is a participant in the Amazon Services LLC Associates Program, an affiliate advertising program designed to p… [+1187 chars]","Please note: This is a paid advertisement which is stickied as the top post, please scroll down for new posts. Save 50% On Hickey Freeman, Saks Fifth Avenue, And More Sport Coats From Saks Off 5TH! Use 50% off code: HALFOFF Receive free 2 day shipping on elig…",2018-11-18T04:03:04Z,"{'id': None, 'name': 'Dansdeals.com'}","Save 50% On Hickey Freeman, Saks Fifth Avenue, And More Sport Coats From Saks Off 5TH!",https://www.dansdeals.com/advertisement/save-50-hickey-freeman-saks-fifth-avenue-sport-coats-saks-off-5th/,https://i.dansdeals.com/wp-content/uploads/2017/11/02212849/download.jpg
555,JJ,"Advertiser Disclosure: Many of the links that appear on this site are from companies from which DansDeals.com receives compensation. Dan’s Deals LLC is a participant in the Amazon Services LLC Associates Program, an affiliate advertising program designed to p… [+1187 chars]",48 Rolls Of Seventh Generation Toilet Paper For Just $12.41-$15.17 Via Amazon Subscribe And Save After 45%-55% Discount! -Clip the 40% off coupon on the product page. This was selling for $31.78 earlier this week and is now the lowest price ever from Amazon. …,2018-11-18T00:14:27Z,"{'id': None, 'name': 'Dansdeals.com'}",48 Rolls Of Seventh Generation Toilet Paper For Just $12.41-$15.17 Via Amazon Subscribe And Save After 45%-55% Discount!,https://www.dansdeals.com/shopping-deals/amazon/48-rolls-seventh-generation-toilet-paper-just-12-41-15-17-shipped-via-amazon-subscribe-save/,https://i.dansdeals.com/wp-content/uploads/2018/11/17191430/seventh-generation-toilet-paper-bath-tissue-100-recycled-paper-48-count-1.jpg
556,JJ,"Advertiser Disclosure: Many of the links that appear on this site are from companies from which DansDeals.com receives compensation. Dan’s Deals LLC is a participant in the Amazon Services LLC Associates Program, an affiliate advertising program designed to p… [+1187 chars]","22 Reynolds Parchment Paper Baking Sheets For $2.03-$2.33 Shipped Via Amazon Subscribe And Save -Clip the $0.50 coupon on the product page. This is a great item to reach 5 monthly subscribe and save items. Perfectly sized, pre-cut for standard cookie sheets F…",2018-11-18T01:29:53Z,"{'id': None, 'name': 'Dansdeals.com'}",22 Reynolds Parchment Paper Baking Sheets For $2.03-$2.33 Shipped Via Amazon Subscribe And Save,https://www.dansdeals.com/shopping-deals/amazon/22-reynolds-parchment-paper-baking-sheets-2-03-2-33-shipped-via-amazon-subscribe-save/,https://i.dansdeals.com/wp-content/uploads/2018/11/17202646/reynolds-kitchens-cookie-baking-sheets-parchment-paper-smartgrid-non-stick-1.jpg
557,JJ,"Advertiser Disclosure: Many of the links that appear on this site are from companies from which DansDeals.com receives compensation. Dan’s Deals LLC is a participant in the Amazon Services LLC Associates Program, an affiliate advertising program designed to p… [+1187 chars]","Today Only: Mr. Coffee Cafe Barista Espresso And Cappuccino Maker For $99.99 Shipped From Amazon This was selling for $199.99 yesterday and is now the lowest price ever from Amazon. Semi-automatic 3-in-1 espresso maker, cappuccino maker, and latte maker 15-ba…",2018-11-17T23:30:30Z,"{'id': None, 'name': 'Dansdeals.com'}",Today Only: Mr. Coffee Cafe Barista Espresso And Cappuccino Maker For $99.99 Shipped From Amazon,https://www.dansdeals.com/shopping-deals/amazon/today-mr-coffee-cafe-barista-espresso-cappuccino-maker-99-99-shipped-amazon/,https://i.dansdeals.com/wp-content/uploads/2018/11/17183034/mr-coffee-cafe-barista-espresso-and-cappuccino-maker-silver.jpg
